BSQ;CIRCONSCRIPTION
648;Abitibi-Est
642;Abitibi-Ouest
338;Acadie
366;Anjou-Louis-Riel
520;Argenteuil
144;Arthabaska
806;Beauce-Nord
802;Beauce-Sud
218;Beauharnois
822;Bellechasse
566;Berthier
588;Bertrand
536;Blainville
850;Bonaventure
258;Borduas
360;Bourassa-Sauvé
370;Camille-Laurin
204;Brome-Missisquoi
238;Chambly
676;Champlain
620;Chapleau
748;Charlesbourg
760;Charlevoix-Côte-de-Beaupré
226;Châteauguay
754;Chauveau
918;Chicoutimi
460;Chomedey
814;Chutes-de-la-Chaudière
826;Côte-du-Sud
320;D'Arcy-McGee
508;Deux-Montagnes
138;Drummond-Bois-Francs
914;Dubuc
902;Duplessis
466;Fabre
854;Gaspé
614;Gatineau
346;Gouin
206;Granby
502;Groulx
352;Hochelaga-Maisonneuve
602;Hull
216;Huntingdon
210;Iberville
858;Îles-de-la-Madeleine
310;Jacques-Cartier
736;Jean-Lesage
364;Jeanne-Mance-Viger
702;Jean-Talon
126;Johnson
570;Joliette
922;Jonquière
594;Labelle
926;Lac-Saint-Jean
390;LaFontaine
720;La Peltrie
236;La Pinière
244;Laporte
232;La Prairie
554;L'Assomption
344;Laurier-Dorion
454;Laval-des-Rapides
670;Laviolette-Saint-Maurice
530;Les Plaines
818;Lévis
810;Lotbinière-Frontenac
708;Louis-Hébert
304;Marguerite-Bourgeoys
246;Marie-Victorin
306;Marquette
666;Maskinongé
548;Masson
842;Matane-Matapédia
340;Maurice-Richard
104;Mégantic
350;Mercier
482;Mille-Îles
514;Mirabel
252;Montarville
742;Montmorency
336;Mont-Royal-Outremont
312;Nelligan
150;Nicolet-Bécancour
324;Notre-Dame-de-Grâce
120;Orford
626;Papineau
380;Pointe-aux-Trembles
608;Pontiac
714;Portneuf
582;Prévost
906;René-Lévesque
560;Repentigny
264;Richelieu
132;Richmond
838;Rimouski
834;Rivière-du-Loup-Témiscouata
316;Robert-Baldwin
930;Roberval
356;Rosemont
576;Rousseau
636;Rouyn-Noranda-Témiscamingue
110;Saint-François
326;Saint-Henri-Sainte-Anne
260;Saint-Hyacinthe
212;Saint-Jean
526;Saint-Jérôme
318;Saint-Laurent
330;Sainte-Marie-Saint-Jacques
470;Sainte-Rose
230;Sanguinet
116;Sherbrooke
220;Soulanges
250;Taillon
730;Taschereau
542;Terrebonne
660;Trois-Rivières
938;Ungava
240;Vachon
726;Vanier-Les Rivières
224;Vaudreuil
256;Verchères
300;Verdun
358;Viau
476;Vimont
332;Westmount-Saint-Louis
